All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly           # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50   N75   L50  L75  # N's per 100 kbp
Barcode75_contigs  7                    1                       0                       0                        0                        0                        8523                    4324                       0                          0                           0                           0                           7          4324            8523          51.12   4324  739   1    4    0.00             
Barcode76_contigs  7                    5                       1                       0                        0                        0                        16470                   15172                      5541                       0                           0                           0                           7          5541            16470         47.92   4597  1955  2    4    0.00             
Barcode77_contigs  8                    5                       1                       0                        0                        0                        21463                   19781                      7548                       0                           0                           0                           8          7548            21463         50.58   4520  2123  2    4    0.00             
Barcode78_contigs  3                    2                       0                       0                        0                        0                        4816                    4100                       0                          0                           0                           0                           3          2708            4816          47.26   2708  1392  1    2    0.00             
Barcode79_contigs  23                   21                      5                       0                        0                        0                        74673                   73615                      29883                      0                           0                           0                           22         7022            74492         43.65   4377  2848  7    12   0.00             
Barcode80_contigs  2                    0                       0                       0                        0                        0                        1519                    0                          0                          0                           0                           0                           2          831             1519          57.14   831   688   1    2    0.00             
Barcode81_contigs  146                  132                     26                      2                        0                        0                        492239                  482788                     174466                     24815                       0                           0                           145        12492           492008        55.73   4078  2907  43   78   0.00             
Barcode82_contigs  7                    7                       4                       0                        0                        0                        40105                   40105                      30425                      0                           0                           0                           7          9706            40105         46.81   6265  5427  3    4    0.00             
Barcode83_contigs  5                    2                       0                       0                        0                        0                        6178                    3877                       0                          0                           0                           0                           5          2156            6178          45.94   1721  931   2    3    0.00             
Barcode84_contigs  4                    3                       0                       0                        0                        0                        6638                    5842                       0                          0                           0                           0                           4          2847            6638          50.33   1539  1456  2    3    0.00             
Barcode85_contigs  10                   5                       0                       0                        0                        0                        13776                   10229                      0                          0                           0                           0                           10         3307            13776         49.34   1815  916   3    6    0.00             
