#seq_name	length	coverage
contig_1	3510	5
contig_2	3185	7
contig_3	6157	3
contig_4	6439	5
contig_19	1017	3
contig_18	2044	5
contig_16	4450	3
contig_33	2247	7
contig_34	3231	4
contig_35	4072	4
contig_40	2269	3
contig_39	5694	4
contig_45	3152	4
contig_44	3710	4
contig_48	2266	3
contig_50	2232	5
contig_51	2928	4
contig_52	2856	5
contig_58	4032	3
contig_56	2572	5
contig_55	2213	3
contig_57	3862	11
contig_60	4139	6
contig_59	5611	7
contig_61	5555	2
contig_64	1570	3
contig_65	3308	3
contig_66	2584	5
contig_67	1163	8
contig_71	2773	4
contig_72	2534	4
contig_68	3915	5
contig_75	1689	4
contig_78	2276	3
contig_79	2571	5
contig_76	5555	3
contig_80	2441	3
contig_91	2548	4
contig_86	6152	6
contig_92	3201	5
contig_94	8378	2
contig_106	5635	3
contig_101	6834	6
contig_107	4133	3
contig_110	2460	3
contig_108	4364	3
contig_115	2234	3
contig_119	2777	3
contig_116	2258	10
contig_117	4106	3
contig_120	2713	5
contig_121	6090	3
contig_125	988	4
contig_123	4076	5
contig_128	2449	5
contig_131	2379	3
contig_129	5491	4
contig_127	6711	6
contig_133	2294	3
contig_132	3305	4
contig_135	1440	7
contig_137	2509	5
contig_134	6078	3
contig_139	2231	3
contig_141	1442	6
contig_138	5266	4
contig_140	3216	6
contig_145	2053	9
contig_149	3023	4
contig_150	4617	3
contig_151	1234	4
contig_153	4950	5
contig_156	2899	4
contig_160	2910	3
contig_159	3390	7
contig_155	6807	7
contig_158	5295	5
contig_163	2919	3
contig_162	5534	2
contig_165	3839	5
contig_172	2936	3
contig_173	2435	4
contig_176	2610	3
contig_177	2644	4
contig_175	2907	9
contig_178	2240	5
contig_185	5906	3
contig_198	5248	4
contig_195	5910	6
contig_207	4640	3
contig_214	4096	5
contig_209	8352	6
contig_11	1643	4
contig_8	516	158
contig_15	774	1
contig_9	574	166
contig_24	958	18
contig_20	231	30
contig_21	570	10
contig_10	523	183
contig_22	1635	30
contig_25	866	20
contig_26	884	5
contig_30	7092	3
contig_27	937	16
contig_28	702	3
contig_32	12492	6
contig_36	1492	2
contig_38	804	1
contig_37	989	1
contig_46	16087	2
contig_43	573	10
contig_42	590	21
contig_49	4495	3
contig_29	1447	607
contig_53	539	11
contig_69	1399	6
contig_63	1560	1
contig_70	1014	3
contig_77	2009	3
contig_74	609	2
contig_54	1244	43
contig_81	1877	11
contig_84	3238	3
contig_109	1644	2
contig_124	1188	3
contig_112	3777	5
contig_126	654	1
contig_136	4400	4
contig_142	1792	6
contig_144	1913	2
contig_143	1612	4
contig_164	1292	3
contig_147	1073	1
contig_148	3559	3
contig_166	1845	7
contig_167	3117	4
contig_171	3159	1
contig_168	8556	3
contig_179	3236	5
contig_181	4086	62
contig_180	2680	61
contig_182	3995	4
contig_183	5188	2
contig_186	4541	3
contig_187	5988	2
contig_188	3896	2
contig_189	4317	2
contig_190	5552	2
contig_184	3328	49
contig_191	5976	2
contig_192	4290	5
contig_193	6091	3
contig_194	4772	4
contig_196	4078	3
contig_199	3446	6
contig_197	8178	2
contig_202	3786	3
contig_203	2216	2
contig_205	4058	1
contig_204	4985	3
contig_206	3894	4
contig_208	3521	3
contig_210	2736	4
contig_211	6260	2
contig_212	5606	4
contig_213	7075	4
contig_215	5677	2
contig_217	2167	3
contig_216	3974	4
contig_13	2936	468
contig_41	12323	5
